Czas (s),Kana³ 1 (g),Kana³ 2 (g),Kana³ 3 (g),Kana³ 4 (g)
2.900145007250362443e-03,1.017433263558516036e-02,5.381814869888471541e-03,8.081474502369690935e-03,1.952137420000000373e-02
3.000150007500374926e-03,8.258106470028529419e-03,5.778239312267663234e-03,8.891923222748827557e-03,2.251217250000000364e-02
3.100155007750387409e-03,1.092920960989533265e-02,4.985390427509299796e-03,8.834034028436034067e-03,2.629644789999999871e-02
3.200160008000399892e-03,6.980622359657468433e-03,4.079277416356881340e-03,2.987225402843615707e-03,2.751718190000000328e-02
3.300165008250412375e-03,1.145181674595622222e-02,3.229796468401490393e-03,1.346516957345972841e-02,2.397705330000000218e-02
3.400170008500424858e-03,8.722646146527117395e-03,6.231295817843861620e-03,7.792028530805707003e-03,2.300046610000000200e-02
3.500175008750437342e-03,1.034853501427212413e-02,3.059900278810408301e-03,1.091804502369671075e-02,2.159662200000000282e-02
3.600180009000449825e-03,1.162601912464318425e-02,7.307305018587362602e-03,1.062859905213272768e-02,2.379394320000000410e-02
3.700185009250462308e-03,1.185828896289246870e-02,5.664975185873608217e-03,1.097593421800950424e-02,2.135247520000000537e-02
3.800190009500474791e-03,6.980622359657468433e-03,3.966013289962826323e-03,8.139363696682482691e-03,2.403809000000000154e-02
3.900195009750487274e-03,1.023240009514748278e-02,3.569588847583654578e-03,8.602477251184865309e-03,2.074210820000000136e-02
4.000200010000500191e-03,1.220669372026641358e-02,4.475701858736073034e-03,6.923690616113756940e-03,2.336668630000000510e-02
4.100205010250512240e-03,8.374241389153191592e-03,7.137408828996280076e-03,7.849917725118499626e-03,2.654059470000000309e-02
4.200210010500525157e-03,6.399947764034238235e-03,-1.867089219330854638e-03,6.055352701421826828e-03,2.074210820000000136e-02
4.300215010750537206e-03,1.087114215033301197e-02,2.890004089219325775e-03,9.528704360189587177e-03,2.257320920000000300e-02
4.400220011000550123e-03,5.587003330161745274e-03,5.834871375464689876e-03,9.007701611374433620e-03,2.062003480000000263e-02
4.500225011250562172e-03,9.012983444338722519e-03,1.644098698884763517e-03,8.023585308056897444e-03,2.251217250000000364e-02
4.600230011500575089e-03,6.632217602283542630e-03,3.229796468401490393e-03,2.524111848341254339e-03,2.251217250000000364e-02
4.700235011750587139e-03,9.361388201712646587e-03,2.153787267657989845e-03,5.592239146919445944e-03,2.422120010000000309e-02
4.800240012000600055e-03,4.135316841103701437e-03,9.645139405204548790e-04,9.412925971564001931e-03,2.055899810000000327e-02
4.900245012250612105e-03,3.903047002854417424e-03,9.645139405204548790e-04,1.248105327014219224e-02,2.464845700000000556e-02
5.000250012500625021e-03,7.851634253092282939e-03,4.872126301115244779e-03,6.229020284360204697e-03,2.074210820000000136e-02
5.100255012750637071e-03,8.896848525214079428e-03,2.380315520446099446e-03,4.955458009478686324e-03,2.275631930000000108e-02
5.200260013000649988e-03,5.354733491912461694e-03,2.606843773234209048e-03,7.502582559241723938e-03,1.994863110000000272e-02
5.300265013250662037e-03,9.593658039961931033e-03,1.757362825278818317e-03,6.692133838862586448e-03,2.123040180000000318e-02
5.400270013500674954e-03,4.832126355851572991e-03,4.702230111524162252e-03,4.608122843601910636e-03,2.483156710000000711e-02
5.500275013750687003e-03,5.819273168411028853e-03,2.833372026022318649e-03,5.592239146919445944e-03,2.385497990000000346e-02
5.600280014000699920e-03,8.548443767840153626e-03,2.720107899628264065e-03,6.402687867298603383e-03,2.196284220000000245e-02
5.700285014250711969e-03,3.670777164605133844e-03,2.550211710037181539e-03,2.060998293838893405e-03,2.007070450000000492e-02
5.800290014500724886e-03,3.961114462416738535e-03,5.680894981412630768e-04,6.865801421800964317e-03,2.324461290000000291e-02
5.900295014750736936e-03,3.322372407231208476e-03,1.134410130111536972e-03,1.051282066350712162e-02,2.080314490000000419e-02
6.000300015000749852e-03,7.619364414842998492e-03,1.768866171009189371e-06,8.486698862559259246e-03,1.915515400000000409e-02
6.100305015250761902e-03,6.109610466222633977e-03,2.776739962825291140e-03,7.849917725118499626e-03,1.665264930000000601e-02
6.200310015500774818e-03,5.528935870599424596e-03,4.548253717472082219e-04,4.839679620853101077e-03,2.007070450000000492e-02
6.300315015750786868e-03,7.967769172216924295e-03,3.229796468401490393e-03,3.508228151658789647e-03,1.537087860000000208e-02
6.400320016000799785e-03,5.064396194100856570e-03,7.080776765799252567e-03,8.718255639810450555e-03,2.513675059999999697e-02
6.500325016250812701e-03,2.741697811607988686e-03,4.815494237918217270e-03,1.062859905213272768e-02,2.617437449999999999e-02
6.600330016500824751e-03,1.418098734538534612e-02,6.797616449814135840e-03,1.114960180094788124e-02,2.275631930000000108e-02
6.700335016750837668e-03,1.127761436726925845e-02,5.098654553903353946e-03,7.386804170616138691e-03,2.269528260000000172e-02
6.800340017000849717e-03,6.283812844909596879e-03,3.512956784386627503e-03,4.318676872037926703e-03,1.830064020000000263e-02
6.900345017250862634e-03,9.883995337773536158e-03,3.796117100371744230e-03,7.444693364928931315e-03,2.123040180000000318e-02
7.000350017500874683e-03,4.193384300666022114e-03,2.097155204460962336e-03,9.586593554502399750e-03,1.915515400000000409e-02
7.100355017750887600e-03,7.387094576593714913e-03,3.909381226765798814e-03,9.412925971564001931e-03,2.324461290000000291e-02
7.200360018000899649e-03,7.735499333967640716e-03,1.247674256505571606e-03,1.242316407582940048e-02,2.391601660000000282e-02
7.300365018250912566e-03,6.283812844909596879e-03,3.852749163568771739e-03,1.277049924170617530e-02,2.269528260000000172e-02
7.400370018500924615e-03,6.574150142721221952e-03,1.983891078066927702e-03,5.534349952606653321e-03,1.842271360000000135e-02
7.500375018750937532e-03,4.657923977164590140e-03,-5.486319702601820798e-05,9.123480000000018866e-03,2.452638360000000337e-02
7.600380019000949582e-03,7.561296955280677815e-03,1.474202509293681207e-03,7.444693364928931315e-03,2.623541119999999935e-02
7.700385019250962498e-03,7.387094576593714913e-03,4.645598048327134744e-03,1.028126388625595113e-02,2.202387890000000181e-02
7.800390019500974548e-03,8.258106470028529419e-03,4.475701858736073034e-03,5.650128341232237700e-03,2.422120010000000309e-02
7.900395019750986597e-03,6.632217602283542630e-03,-6.778158921932995063e-04,5.360682369668275452e-03,1.854478700000000355e-02
8.000400020001000381e-03,9.071050903901043197e-03,2.663475836431236556e-03,9.933928720379176305e-03,2.269528260000000172e-02
8.100405020251012431e-03,5.819273168411028853e-03,5.948135501858744893e-03,6.286909478672997320e-03,2.666266810000000528e-02
8.200410020501024480e-03,3.612709705042813167e-03,4.079277416356881340e-03,9.007701611374433620e-03,2.025381460000000300e-02
8.300415020751036529e-03,5.528935870599424596e-03,4.702230111524162252e-03,6.576355450236981252e-03,2.062003480000000263e-02
8.400420021001050314e-03,2.277158135109410685e-03,2.323683457249071938e-03,5.765906729857843763e-03,2.000966780000000209e-02
8.500425021251062363e-03,5.703138249286387497e-03,2.153787267657989845e-03,3.334560568720391395e-03,2.483156710000000711e-02
8.600430021501074412e-03,2.857832730732630475e-03,4.928758364312272287e-03,6.286909478672997320e-03,2.519778729999999980e-02
8.700435021751086462e-03,7.619364414842998492e-03,6.344559944237916638e-03,7.213136587677740005e-03,2.794443880000000227e-02
8.800440022001100246e-03,1.168408658420550493e-02,6.401192007434944146e-03,8.776144834123242311e-03,2.086418160000000355e-02
8.900445022251112295e-03,9.245253282588005231e-03,4.758862174721189761e-03,1.004970710900476155e-02,2.263424590000000236e-02
9.000450022501124345e-03,1.087114215033301197e-02,2.153787267657989845e-03,1.080226663507110468e-02,2.171869540000000154e-02
9.100455022751136394e-03,8.954915984776400106e-03,7.137408828996280076e-03,1.109171260663508948e-02,2.440431020000000117e-02
9.200460023001150178e-03,1.069693977164604994e-02,6.174663754646834979e-03,9.470815165876793687e-03,1.970448430000000181e-02
9.300465023251162228e-03,7.387094576593714913e-03,3.116532342007435376e-03,8.718255639810450555e-03,2.293942940000000263e-02
9.400470023501174277e-03,6.051543006660312432e-03,2.833372026022318649e-03,8.255142085308067937e-03,1.860582370000000291e-02
9.500475023751186326e-03,7.387094576593714913e-03,6.684352323420080823e-03,6.865801421800964317e-03,2.287839270000000327e-02
9.600480024001200111e-03,1.261316593720266006e-02,5.891503438661717384e-03,8.949812417061640130e-03,1.445532810000000300e-02
9.700485024251212160e-03,1.330997545195051167e-02,2.323683457249071938e-03,1.062859905213272768e-02,2.470949370000000492e-02
9.800490024501224209e-03,8.083904091341565651e-03,4.135909479553908849e-03,6.055352701421826828e-03,2.843273240000000063e-02
9.900495024751237993e-03,7.677431874405320038e-03,5.268550743494436472e-03,1.329150199052134967e-02,2.043692470000000108e-02
1.000050002500125004e-02,1.296157069457658587e-02,3.173164405204462885e-03,9.586593554502399750e-03,2.013174120000000428e-02
1.010050502525126209e-02,1.174215404376782561e-02,5.155286617100381455e-03,1.219160729857820917e-02,1.628642910000000638e-02
1.020051002550127414e-02,1.023240009514748278e-02,1.021146003717482171e-03,9.933928720379176305e-03,1.872789710000000163e-02
1.030051502575128793e-02,1.290350323501426519e-02,5.551711059479553199e-03,7.560471753554516561e-03,2.416016340000000026e-02
1.040052002600129998e-02,1.238089609895337735e-02,5.325182806691463981e-03,9.991817914691968061e-03,2.562504420000000227e-02
1.050052502625131202e-02,1.789730475737392676e-02,9.006266914498144496e-03,7.444693364928931315e-03,2.135247520000000537e-02
1.060053002650132407e-02,1.661982064700284756e-02,1.813994888475845609e-03,1.456506426540286891e-02,2.147454860000000063e-02
1.070053502675133786e-02,1.888445156993338522e-02,6.174663754646834979e-03,1.190216132701424692e-02,2.348875970000000382e-02
1.080054002700134991e-02,1.516813415794480285e-02,6.627720260223054181e-03,1.497028862559243723e-02,1.506569510000000355e-02
1.090054502725136196e-02,1.737469762131304066e-02,7.477201208178444261e-03,1.120749099526067473e-02,2.751718190000000328e-02
1.100055002750137401e-02,1.929092378686965079e-02,8.383314219330863584e-03,1.595440492890997167e-02,1.939930080000000501e-02
1.110055502775138779e-02,2.091681265461465752e-02,1.081849293680298141e-02,1.624385090047395647e-02,1.927722740000000282e-02
1.120056002800139984e-02,1.847797935299713701e-02,1.087512500000000805e-02,1.612807251184835214e-02,2.556400750000000291e-02
1.130056502825141189e-02,1.778116983824928540e-02,7.250672955390335093e-03,1.167060454976305561e-02,2.354979640000000318e-02
1.140057002850142394e-02,2.271690390104662630e-02,5.948135501858744893e-03,1.826997270142181884e-02,1.689679609999999998e-02
1.150057502875143772e-02,2.863978477640342565e-02,1.053533262081784300e-02,1.531762379146921378e-02,2.507571390000000455e-02
1.160058002900144977e-02,3.293677678401521480e-02,1.444294498141263268e-02,2.075920805687206383e-02,2.397705330000000218e-02
1.170058502925146182e-02,3.880159019980969348e-02,1.642506719330855125e-02,2.110654322274883865e-02,2.104729170000000163e-02
1.180059002950147387e-02,4.141462588011417256e-02,1.699138782527880726e-02,2.579556796208532649e-02,2.440431020000000117e-02
1.190059502975148766e-02,4.077588382492864510e-02,1.534905799256505200e-02,2.562190037914692867e-02,2.074210820000000136e-02
1.200060003000149970e-02,4.344698696479543099e-02,1.891687797397769571e-02,3.175815497630333356e-02,2.159662200000000282e-02
1.210060503025151175e-02,5.674443520456706747e-02,1.936993447955391578e-02,3.465261469194314686e-02,2.190180550000000309e-02
1.220061003050152380e-02,6.266731607992388764e-02,2.593925381040892292e-02,3.696818246445499057e-02,2.702888830000000145e-02
1.230061503075153759e-02,6.353832797335869087e-02,2.656220650557621424e-02,4.107831526066352268e-02,2.098625500000000227e-02
1.240062003100154964e-02,6.696430808753567332e-02,2.814790427509294285e-02,3.772074199052134758e-02,2.300046610000000200e-02
1.250062503125156169e-02,7.265491912464318303e-02,2.741168745353160519e-02,4.623045355450238619e-02,2.629644789999999871e-02
1.260063003150157374e-02,6.946120884871549717e-02,3.063971505576208731e-02,4.547789402843602918e-02,2.739510850000000108e-02
1.270063503175158752e-02,7.468728020932444145e-02,2.780811189591078647e-02,4.999325118483414349e-02,1.830064020000000263e-02
